symbol,description,asset_type,main_type,quantity,target
ISHG,iShares 1-3 Year International Treasury Bond ETF,ETF,EQUITY,0,0
TLT,iShares 20+ Year Treasury Bond ETF,ETF,EQUITY,0,0
IEI,iShares 3-7 Year Treasury Bond ETF,ETF,EQUITY,0,0
IEF,iShares 7-10 Year Treasury Bond ETF,ETF,EQUITY,0,0
USHY,iShares Broad USD High Yield Corporate Bond ETF,ETF,EQUITY,0,0
USIG,iShares Broad USD Investment Grade Corporate Bond ETF,ETF,EQUITY,0,0
ISTB,iShares Core 1-5 Year USD Bond ETF,ETF,EQUITY,0,0
ILTB,iShares Core 10  Year USD Bond ETF,ETF,EQUITY,0,0
IAF,Aberdeen Australia Equity Fund Inc Common Stock,EQUITY,EQUITY,0,0
IAGG,iShares International Aggregate Bond Fund,ETF,EQUITY,0,0
IEFA,iShares Core MSCI EAFE ETF,ETF,EQUITY,0,0
IXUS,iShares Core MSCI Total International Stock ETF,ETF,EQUITY,0,0
IVV,iShares Core S&P 500 ETF,ETF,EQUITY,0,0
IJH,iShares Core S&P Mid-Cap ETF,ETF,EQUITY,0,0
IJR,iShares Core S&P Small-Cap ETF,ETF,EQUITY,0,0
ITOT,iShares Core S&P Total U.S. Stock Market ETF,ETF,EQUITY,0,0
IUSV,iShares Core S&P U.S. Value ETF,ETF,EQUITY,0,0
IUSB,iShares Core Total USD Bond Market ETF,ETF,EQUITY,0,0
AGG,iShares Core U.S. Aggregate Bond ETF,ETF,EQUITY,0,0
GOVT,iShares U.S. Treasury Bond ETF,ETF,EQUITY,0,0
IYY,iShares Dow Jones U.S. ETF,ETF,EQUITY,0,0
USMV,iShares MSCI USA Min Vol Factor ETF,ETF,EQUITY,0,0
IEV,iShares Europe ETF,ETF,EQUITY,0,0
MIDD,The Middleby Corporation - Common Stock,EQUITY,EQUITY,0,0
CORP,Pimco Investment Grade Corporate Bond Index Exchange-Traded Fund,ETF,EQUITY,0,0
HYLD,High Yield ETF,ETF,EQUITY,0,0
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,ETF,EQUITY,0,0
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,ETF,EQUITY,0,0
GVI,iShares Intermediate Government/Credit Bond ETF,ETF,EQUITY,0,0
IGOV,iShares International Treasury Bond ETF,ETF,EQUITY,0,0
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF,ETF,EQUITY,0,0
IWC,iShares Microcap ETF,ETF,EQUITY,0,0
ACWI,iShares MSCI ACWI Index Fund,ETF,EQUITY,0,0
CRBN,iShares MSCI ACWI Low Carbon Target ETF,ETF,EQUITY,0,0
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,ETF,EQUITY,0,0
ACWV,iShares MSCI Global Min Vol Factor ETF,ETF,EQUITY,0,0
CNYA,iShares MSCI China A ETF,ETF,EQUITY,0,0
EFA,iShares MSCI EAFE ETF,ETF,EQUITY,0,0
SCZ,iShares MSCI EAFE Small-Cap ETF,ETF,EQUITY,0,0
EEMV,iShares MSCI Emerging Markets Min Vol Factor ETF,ETF,EQUITY,0,0
EEM,iShares MSCI Emerging Index Fund,ETF,EQUITY,0,0
IEMG,iShares Core MSCI Emerging Markets ETF,ETF,EQUITY,0,0
EZU,iShares MSCI Eurozone ETF,ETF,EQUITY,0,0
EWJ,iShares MSCI Japan Index Fund,ETF,EQUITY,0,0
DSI,iShares MSCI KLD 400 Social ETF,ETF,EQUITY,0,0
URTH,Ishares MSCI World Index Fund,ETF,EQUITY,0,0
JKH,iShares Morningstar Mid-Cap Growth ETF,ETF,EQUITY,0,0
MUB,iShares National Muni Bond ETF,ETF,EQUITY,0,0
IWB,iShares Russell 1000 ETF,ETF,EQUITY,0,0
IWD,iShares Russell 1000 Value ETF,ETF,EQUITY,0,0
IWM,iShares Russell 2000 ETF,ETF,EQUITY,0,0
IWN,iShares Russell 2000 Value ETF,ETF,EQUITY,0,0
IWV,iShares Russell 3000 ETF,ETF,EQUITY,0,0
IWR,iShares Russell Mid-Cap ETF,ETF,EQUITY,0,0
IWP,iShares Russell Midcap Growth ETF,ETF,EQUITY,0,0
IWS,iShares Russell Mid-cap Value ETF,ETF,EQUITY,0,0
IVE,iShares S&P 500 Value ETF,ETF,EQUITY,0,0
IJK,iShares S&P Mid-Cap 400 Growth ETF,ETF,EQUITY,0,0
IJJ,iShares S&P Mid-Cap 400 Value ETF,ETF,EQUITY,0,0
IJT,iShares S&P Small-Cap 600 Growth ETF,ETF,EQUITY,0,0
IJS,iShares S&P SmallCap 600 Value ETF,ETF,EQUITY,0,0
DVY,iShares Select Dividend ETF,ETF,EQUITY,0,0
SHV,iShares Short Treasury Bond ETF,ETF,EQUITY,0,0
IGSB,iShares Short-Term Corporate Bond ETF,ETF,EQUITY,0,0
SUB,iShares Short-Term National Muni Bond ETF,ETF,EQUITY,0,0
TIP,iShares TIPS Bond ETF,ETF,EQUITY,0,0
ICSH,iShares Ultra Short-Term Bond ETF,ETF,EQUITY,0,0
PFF,iShares Preferred and Income Securities ETF,ETF,EQUITY,0,0
BBSA,JPMorgan BetaBuilders 1-5 Year U.S. Aggregate Bond ETF,ETF,EQUITY,0,0
BBEU,JPMorgan BetaBuilders Europe ETF,ETF,EQUITY,0,0
BBJP,JPMorgan BetaBuilders Japan ETF,ETF,EQUITY,0,0
BBUS,JPMorgan BetaBuilders U.S. Equity ETF,ETF,EQUITY,0,0
JPHY,JPMorgan Research Enhanced High Yield ETF,ETF,EQUITY,0,0
JPEM,JPMorgan Diversified Return Emerging Markets Equity ETF,ETF,EQUITY,0,0
JPIN,JPMorgan Diversified Return International Equity ETF,ETF,EQUITY,0,0
JPUS,JPMorgan Diversified Return U.S. Equity ETF,ETF,EQUITY,0,0
JPME,JPMorgan Diversified Return U.S. Mid Cap Equity ETF,ETF,EQUITY,0,0
