,symbol,description,asset_type,main_type
0,QUS,SPDR MSCI USA StrategicFactors ETF,ETF,EQUITY
1,GVAL,Cambria Global Value ETF,ETF,EQUITY
2,IEUR,iShares Core MSCI Europe ETF,ETF,EQUITY
3,ASHR,Xtrackers Harvest CSI 300 China A-Shares ETF,ETF,EQUITY
4,ASHS,Xtrackers Harvest CSI 500 China A-Shares Small Cap ETF,ETF,EQUITY
5,FCOR,Fidelity Corporate Bond ETF,ETF,EQUITY
6,FLTB,Fidelity Limited Term Bond ETF,ETF,EQUITY
7,FDLO,Fidelity Low Volatility Factor ETF,ETF,EQUITY
8,FBND,Fidelity Total Bond ETF,ETF,EQUITY
9,FTC,First Trust Large Cap Growth AlphaDEX Fund,ETF,EQUITY
10,GEM,Goldman Sachs ActiveBeta Emerging Markets Equity ETF,ETF,EQUITY
11,RSP,Invesco S&P 500 Equal Weight ETF,ETF,EQUITY
12,RPG,Invesco S&P 500 Pure Growth ETF,ETF,EQUITY
13,BSCP,Invesco BulletShares 2025 Corporate Bond ETF,ETF,EQUITY
14,BSCR,Invesco BulletShares 2027 Corporate Bond ETF,ETF,EQUITY
15,BSCS,Invesco BulletShares 2028 Corporate Bond ETF,ETF,EQUITY
16,PIE,Invesco DWA Emerging Markets Momentum ETF,ETF,EQUITY
17,PCY,Invesco Emerging Markets Sovereign Debt ETF,ETF,EQUITY
18,PXF,Invesco FTSE RAFI Developed Markets ex-U.S. ETF,ETF,EQUITY
19,EQAL,Invesco Russell 1000 Equal Weight ETF,ETF,EQUITY
20,SPLV,Invesco S&P 500 Low Volatility ETF,ETF,EQUITY
21,FLOT,iShares Floating Rate Bond ETF,ETF,EQUITY
22,SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,ETF,EQUITY
23,SLQD,iShares 0-5 Year Investment Grade Corporate Bond ETF,ETF,EQUITY
24,STIP,iShares 0-5 Year TIPS Bond ETF,ETF,EQUITY
25,TLH,iShares 10-20 Year Treasury Bond ETF,ETF,EQUITY
26,ISHG,iShares 1-3 Year International Treasury Bond ETF,ETF,EQUITY
27,SHY,iShares 1-3 Year Treasury Bond ETF,ETF,EQUITY
28,TLT,iShares 20+ Year Treasury Bond ETF,ETF,EQUITY
29,IEI,iShares 3-7 Year Treasury Bond ETF,ETF,EQUITY
30,IEF,iShares 7-10 Year Treasury Bond ETF,ETF,EQUITY
31,USHY,iShares Broad USD High Yield Corporate Bond ETF,ETF,EQUITY
32,USIG,iShares Broad USD Investment Grade Corporate Bond ETF,ETF,EQUITY
33,ISTB,iShares Core 1-5 Year USD Bond ETF,ETF,EQUITY
34,ILTB,iShares Core 10  Year USD Bond ETF,ETF,EQUITY
35,IAF,Aberdeen Australia Equity Fund Inc Common Stock,EQUITY,EQUITY
36,IAGG,iShares International Aggregate Bond Fund,ETF,EQUITY
37,IEFA,iShares Core MSCI EAFE ETF,ETF,EQUITY
38,IXUS,iShares Core MSCI Total International Stock ETF,ETF,EQUITY
39,IVV,iShares Core S&P 500 ETF,ETF,EQUITY
40,IJH,iShares Core S&P Mid-Cap ETF,ETF,EQUITY
41,IJR,iShares Core S&P Small-Cap ETF,ETF,EQUITY
42,ITOT,iShares Core S&P Total U.S. Stock Market ETF,ETF,EQUITY
43,IUSV,iShares Core S&P U.S. Value ETF,ETF,EQUITY
44,IUSB,iShares Core Total USD Bond Market ETF,ETF,EQUITY
45,AGG,iShares Core U.S. Aggregate Bond ETF,ETF,EQUITY
46,GOVT,iShares U.S. Treasury Bond ETF,ETF,EQUITY
47,IYY,iShares Dow Jones U.S. ETF,ETF,EQUITY
48,USMV,iShares MSCI USA Min Vol Factor ETF,ETF,EQUITY
